PassengerId,Survived
892,0
893,0
894,0
895,0
896,0
897,0
898,0
899,0
900,1
901,0
902,0
903,1
904,0
905,1
906,1
907,0
908,0
909,0
910,0
911,1
912,1
913,1
914,1
915,0
916,1
917,0
918,1
919,0
920,0
921,0
922,1
923,0
924,1
925,0
926,0
927,0
928,1
929,1
930,0
931,1
932,1
933,0
934,0
935,0
936,1
937,1
938,0
939,0
940,0
941,1
942,0
943,0
944,0
945,1
946,0
947,1
948,0
949,1
950,1
951,1
952,0
953,0
954,1
955,1
956,1
957,1
958,0
959,1
960,1
961,1
962,0
963,0
964,1
965,1
966,0
967,1
968,1
969,0
970,1
971,0
972,1
973,0
974,1
975,0
976,0
977,0
978,0
979,0
980,0
981,0
982,1
983,1
984,1
985,1
986,1
987,0
988,1
989,1
990,1
991,0
992,1
993,0
994,0
995,0
996,0
997,0
998,0
999,0
1000,0
1001,0
1002,1
1003,0
1004,0
1005,1
1006,0
1007,0
1008,1
1009,0
1010,0
1011,0
1012,1
1013,0
1014,0
1015,0
1016,1
1017,1
1018,1
1019,1
1020,1
1021,1
1022,0
1023,0
1024,1
1025,0
1026,1
1027,0
1028,0
1029,0
1030,1
1031,1
1032,1
1033,1
1034,1
1035,0
1036,0
1037,1
1038,1
1039,0
1040,1
1041,0
1042,0
1043,0
1044,1
1045,0
1046,1
1047,0
1048,1
1049,1
1050,0
1051,1
1052,1
1053,1
1054,0
1055,0
1056,0
1057,1
1058,0
1059,0
1060,0
1061,1
1062,1
1063,0
1064,1
1065,1
1066,1
1067,0
1068,1
1069,0
1070,0
1071,0
1072,0
1073,0
1074,0
1075,1
1076,0
1077,1
1078,0
1079,1
1080,0
1081,1
1082,1
1083,0
1084,1
1085,0
1086,0
1087,1
1088,0
1089,1
1090,1
1091,0
1092,0
1093,0
1094,0
1095,0
1096,1
1097,0
1098,0
1099,0
1100,1
1101,1
1102,0
1103,0
1104,0
1105,1
1106,1
1107,0
1108,0
1109,0
1110,0
1111,1
1112,1
1113,0
1114,1
1115,0
1116,0
1117,0
1118,0
1119,0
1120,0
1121,1
1122,0
1123,0
1124,0
1125,0
1126,0
1127,1
1128,0
1129,1
1130,0
1131,0
1132,0
1133,0
1134,0
1135,1
1136,1
1137,0
1138,0
1139,0
1140,0
1141,0
1142,0
1143,0
1144,1
1145,1
1146,0
1147,1
1148,0
1149,0
1150,0
1151,1
1152,1
1153,1
1154,0
1155,1
1156,0
1157,0
1158,0
1159,0
1160,0
1161,1
1162,1
1163,0
1164,0
1165,0
1166,1
1167,1
1168,0
1169,0
1170,0
1171,1
1172,0
1173,1
1174,0
1175,0
1176,1
1177,1
1178,0
1179,1
1180,1
1181,1
1182,0
1183,0
1184,1
1185,0
1186,0
1187,1
1188,1
1189,0
1190,0
1191,0
1192,0
1193,0
1194,0
1195,1
1196,0
1197,0
1198,0
1199,0
1200,0
1201,1
1202,1
1203,0
1204,0
1205,1
1206,0
1207,1
1208,0
1209,0
1210,1
1211,0
1212,1
1213,0
1214,1
1215,0
1216,0
1217,0
1218,1
1219,1
1220,1
1221,1
1222,0
